,Points,Score,Weigh
Honda Civic,4.93,1.615,18.52
Toyota Corolla,4.22,1.835,19.9
Fiat 128,4.08,2.2,19.47
Fiat X1-9,4.08,1.935,18.9
Porsche 914-2,4.08,2.14,16.7
Lotus Europa,4.08,1.513,16.9
Ford Pantera L,4.08,3.17,14.5
Ferrari Dino,4.08,2.77,15.5
Maserati Bora,4.08,3.57,14.6
Volvo 142E,4.08,2.78,18.6
Merc 230,3.92,3.15,22.9
Merc 280,3.92,3.44,18.3
Merc 280C,3.92,3.44,18.9
Mazda RX4,3.9,2.62,16.46
Mazda RX4 Wag,3.9,2.875,17.02
Datsun 710,3.85,2.32,18.61
Camaro Z28,3.73,3.84,15.41
Toyota Corona,3.7,2.465,20.01
Merc 240D,3.69,3.19,20
Chrysler Imperial,3.23,5.345,17.42
Duster 360,3.21,3.57,15.84
Hornet Sportabout,3.15,3.44,17.02
AMC Javelin,3.15,3.435,17.3
Hornet 4 Drive,3.08,3.215,19.44
Pontiac Firebird,3.08,3.845,17.05
Merc 450SE,3.07,4.07,17.4
Merc 450SL,3.07,3.73,17.6
Merc 450SLC,3.07,3.78,18
Lincoln Continental,3,5.424,17.82
Cadillac Fleetwood,2.93,5.25,17.98
Valiant,2.76,3.46,20.22
Dodge Challenger,2.76,3.52,16.87
,,,
,,,
,,,
Mean,3.62125,3.21725,17.84875
Median,3.79,3.325,17.71
mode,4.08,3.44,18.9
SD ,0.534739913,0.978457443,1.786943236
variance,0.285946774,0.957378968,3.193166129
Range,2.17,-1.905,1.65
